name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Allan Hills 84233,835,Valid,"Iron, ungrouped",13.6,Found,1984,-76.7119,158.72942,"(-76.7119, 158.72942)",AQ,Antarctica,Antarctica,Antarctica,
Allan Hills A77255,1566,Valid,"Iron, ungrouped",765.1,Found,1977,-76.71667,159.66666999999995,"(-76.71667, 159.66667)",AQ,Antarctica,Antarctica,Antarctica,
Allan Hills A78252,1865,Valid,"Iron, IVA",2789.0,Found,1978,-76.71667,159.66666999999995,"(-76.71667, 159.66667)",AQ,Antarctica,Antarctica,Antarctica,
Allan Hills A80104,1932,Valid,"Iron, ungrouped",882.0,Found,1980,-76.72833,159.29278,"(-76.72833, 159.29278)",AQ,Antarctica,Antarctica,Antarctica,
Allan Hills A81014,1974,Valid,"Iron, ungrouped",188.2,Found,1981,-76.71139000000002,159.35889,"(-76.71139, 159.35889)",AQ,Antarctica,Antarctica,Antarctica,
Alt Bela,2283,Valid,"Iron, IID",4000.0,Found,1898,49.76667,18.25,"(49.76667, 18.25)",CZ,Czech Republic,Europe,Eastern Europe,
Altonah,2286,Valid,"Iron, IVA",21500.0,Found,1932,40.56667,-110.48333000000001,"(40.56667, -110.48333)",US,United States,Americas,Northern America,
Alvord,2287,Valid,"Iron, IVA",17500.0,Found,1976,43.32222,-96.28889000000001,"(43.32222, -96.28889)",US,United States,Americas,Northern America,
Ameca-Ameca,2292,Valid,Iron,1.2,Found,1889,20.58333,-104.06667,"(20.58333, -104.06667)",MX,Mexico,Americas,Latin America and the Caribbean,Central America
Angelica,2300,Valid,"Iron, IIIAB",14800.0,Found,1916,44.25,-88.25,"(44.25, -88.25)",US,United States,Americas,Northern America,
Annaheim,2306,Valid,"Iron, IAB-sLL",13500.0,Found,1916,52.33333,-104.86667,"(52.33333, -104.86667)",CA,Canada,Americas,Northern America,
Answer,2309,Valid,Iron,11090.0,Found,1970,-21.65972,140.90694,"(-21.65972, 140.90694)",AU,Australia,Oceania,Australia and New Zealand,
