name,id,name_type,class,mass,fall,year,lat,long,geolocation,countrycode,countryname,continent,sub-region,intermediate-region
Grove Mountains 020253,47755,Valid,H5,1.54,Found,2003,-72.983056,75.229167,"(-72.983056, 75.229167)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Grove Mountains 021878,47872,Valid,H4,1.3,Found,2003,-72.777778,75.328333,"(-72.777778, 75.328333)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Allan Hills 84061,663,Valid,L6,676.4,Found,1984,-76.99289,156.95507,"(-76.99289, 156.95507)",AQ,Antarctica,Antarctica,Antarctica,
Pecora Escarpment 01001,31286,Valid,LL5,19.5,Found,2005,-85.6661,-69.04142,"(-85.6661, -69.04142)",AR,Argentina,Americas,Latin America and the Caribbean,South America
Queen Alexandra Range 97062,20469,Valid,LL5,93.5,Found,1997,-84.0,168.0,"(-84.0, 168.0)",AQ,Antarctica,Antarctica,Antarctica,
Lewis Cliff 86429,13359,Valid,L6,6.6,Found,1986,-84.25477,161.40453,"(-84.25477, 161.40453)",AQ,Antarctica,Antarctica,Antarctica,
Asuka 87277,2634,Valid,H3.7,250.02,Found,1987,-72.0,26.0,"(-72.0, 26.0)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
Dar al Gani 061,5577,Valid,LL5-6,3130.0,Found,1995,27.45767,16.280170000000002,"(27.45767, 16.28017)",LY,Libya,Africa,Northern Africa,
Sayh al Uhaymir 131,23323,Valid,CV3,168.0,Found,2004,21.07,57.27,"(21.07, 57.27)",OM,Oman,Asia,Western Asia,
Grove Mountains 054658,50655,Valid,L5,0.52,Found,2006,-72.99889,75.1872,"(-72.99889, 75.1872)",TF,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Allan Hills A77219,1530,Valid,Mesosiderite-B1,637.1,Found,1977,-76.71667,159.66666999999995,"(-76.71667, 159.66667)",AQ,Antarctica,Antarctica,Antarctica,
Yamato 790231,25580,Valid,H5,1.48,Found,1979,-71.5,35.66667,"(-71.5, 35.66667)",ZA,South Africa,Africa,Sub-Saharan Africa,Southern Africa
